Companies,Nominal,Montant 2016,Variation2016,Montant 2017,Variation2017,Montant 2018,Variation2018,Montant 2019,Variation2019,Montant 2020,Variation2020,Montant 2021,Variation2021,Montant 2022,Variation2022,DL 2016,DL 2017,DL 2018,DL 2019,DL 2020,DL 2021,DL 2022,Average DL,Growth Rate 2017,Growth Rate 2018,Growth Rate 2019,Growth Rate 2020,Growth Rate 2021,Growth Rate 2022
Société Tunisienne de Réassurance -TUNIS RE -,5.0,0.5,0,0.5,0.0,0.5,0.0,0.55,0.10000000000000009,0.3975,-0.5,0.245,1.2666666666666668,0.35,0.4285714285714285,0.1,0.1,0.1,0.11000000000000001,0.0795,0.049,0.06999999999999999,0.08692857142857144,0.0,0.0,0.10000000000000009,-0.2772727272727273,-0.3836477987421384,0.4285714285714285
Société Tunisienne de Verreries - SOTUVER -,1.0,0.21,0.049999999999999906,0.22,0.047619047619047665,0.26,0.18181818181818185,0.3,0.15384615384615377,0.15,-0.5,0.34,1.2666666666666668,0.4,0.1764705882352941,0.21,0.22,0.26,0.3,0.15,0.34,0.4,0.26857142857142857,0.047619047619047665,0.18181818181818185,0.15384615384615377,-0.5,1.2666666666666668,0.1764705882352941
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,5.0,0.1, -,0.1,0.0,0.1,0.0,0.1,0.09999999999999995,0.1,0.2727272727272728,0.1,0.07142857142857129,0.1,1.6333333333333335,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Société Tunisienne des Marchés de Gros - SOTUMAG -,1.0,0.1,0,0.1,0.0,0.1,0.0,0.11,0.09999999999999995,0.14,0.2727272727272728,0.15,0.07142857142857129,0.395,1.6333333333333335,0.1,0.1,0.1,0.11,0.14,0.15,0.395,0.15642857142857144,0.0,0.0,0.09999999999999995,0.2727272727272728,0.07142857142857129,1.6333333333333335
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,1.0,0.2,0.3333333333333335,0.2,0.0,0.245,0.22499999999999992,0.33,0.3469387755102042,0.465,0.4090909090909091,0.425,-0.08602150537634416,0.47,0.10588235294117644,0.2,0.2,0.245,0.33,0.465,0.425,0.47,0.3335714285714286,0.0,0.22499999999999992,0.3469387755102042,0.4090909090909091,-0.08602150537634416,0.10588235294117644
SOTEMAIL,1.0,0.04,-0.3333333333333333,0.04,0.0,0.04,0.0,0.04,0.09090909090909079,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,1.0,0.55,0.03773584905660381,0.55,0.0,0.55,0.0,0.6,0.09090909090909079,0.6,0.0,0.6,0.0,0.6,0.0,0.55,0.55,0.55,0.6,0.6,0.6,0.6,0.5785714285714285,0.0,0.0,0.09090909090909079,0.0,0.0,0.0
Tawasol Group Holding,1.0,0.025,-0.28571428571428575,0.025,0.0,0.025,1.4999999999999998,0.025,0.3999999999999999,0.025,-0.7142857142857143,0.025,0.24999999999999994,0.025,1.0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.024999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Telnet holding ,1.0,0.5, -,0.2,0.0,0.5,1.4999999999999998,0.7,0.3999999999999999,0.2,-0.7142857142857143,0.25,0.24999999999999994,0.5,1.0,0.5,0.2,0.5,0.7,0.2,0.25,0.5,0.40714285714285714,-0.6,1.4999999999999998,0.3999999999999999,-0.7142857142857143,0.24999999999999994,1.0
Tuninvest- SICAR ,1.0,0.5,4,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.5,2.0,1.5,0.0,0.5,0.5,0.5,0.5,0.5,1.5,1.5,0.7857142857142857,0.0,0.0,0.0,0.0,2.0,0.0
Tunisie Leasing ,5.0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.04347826086956513,1.0,-1.0,1.0,0.3333333333333335,1.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Tunisie Profilés Aluminium -TPR-,1.0,0.2,-0.13043478260869565,0.2,0.0,0.23,0.15,0.24,0.04347826086956513,0.27,-1.0,0.3,0.3333333333333335,0.3,0.0,0.2,0.2,0.23,0.24,0.27,0.3,0.3,0.2485714285714286,0.0,0.15,0.04347826086956513,0.1250000000000001,0.111111111111111,0.0
UADH,1.0,0.065, -,0.15,1.3076923076923075,0.15,0.0,0.15,0.19999999999999996,0.15,-1.0,0.15,0.3333333333333335,0.15,-0.25,0.065,0.15,0.15,0.15,0.15,0.15,0.15,0.13785714285714287,1.3076923076923075,0.0,0.0,0.0,0.0,0.0
Union Bancaire pour le Commerce et l'Industrie -UBCI -,5.0,1.1,0.5714285714285716,0.7,-0.3636363636363637,1.0,0.42857142857142866,1.2,0.19999999999999996,1.1,-1.0,1.0,0.3333333333333335,0.75,-0.25,0.22000000000000003,0.13999999999999999,0.2,0.24,0.22000000000000003,0.2,0.15,0.1957142857142857,-0.3636363636363637,0.42857142857142866,0.19999999999999996,-0.08333333333333323,-0.09090909090909098,-0.25
Union Internationale de Banque -UIB- ,5.0,0.55,0.10000000000000009,0.6,0.09090909090909079,0.65,0.08333333333333341,0.7,0.07692307692307682,0.7,-1.0,0.7,0.3333333333333335,0.7,0.0,0.11000000000000001,0.12,0.13,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.13142857142857142,0.09090909090909079,0.08333333333333341,0.07692307692307682,0.0,0.0,0.0
Unité de Fabrication de Médicaments «UNIMED»,1.0,0.31,0.10000000000000009,0.225,-0.27419354838709675,0.235,0.04444444444444436,0.345,0.4680851063829787,0.4065,-1.0,0.468,0.3333333333333335,0.406,-0.13247863247863248,0.31,0.225,0.235,0.345,0.4065,0.468,0.406,0.34221428571428575,-0.27419354838709675,0.04444444444444436,0.4680851063829787,0.1782608695652174,0.1512915129151293,-0.13247863247863248
SANIMED,1.109,0.31,0.10000000000000009,0.065,-0.27419354838709675,0.06,-0.07692307692307698,0.06,0.15384615384615377,0.06,-0.5,0.06,0.3333333333333335,0.06,0.07499999999999993,0.2795311091073039,0.05861136158701533,0.05410279531109107,0.05410279531109107,0.05410279531109107,0.05410279531109107,0.05410279531109107,0.0869509210356821,-0.7903225806451613,-0.07692307692307698,0.0,0.0,0.0,0.0
Société Atelier du Meuble Interieur - SAM -,1.0,0.31,0.10000000000000009,0.3,-0.27419354838709675,0.26,-0.13333333333333328,0.3,0.15384615384615377,0.15,-0.5,0.2,0.3333333333333335,0.215,0.07499999999999993,0.31,0.3,0.26,0.3,0.15,0.2,0.215,0.24785714285714283,-0.03225806451612906,-0.13333333333333328,0.15384615384615377,-0.5,0.3333333333333335,0.07499999999999993
